,Sea level (m: relative to 1985-2005 mean),,,,,
Year,RCP_2_mean,RCP_2_upper,RCP_2_lower,RCP_8_mean,RCP_8_upper,RCP_8_lower
2020,0.07,0.09,0.05,0.08,0.11,0.05
2030,0.12,0.16,0.08,0.13,0.17,0.09
2040,0.17,0.23,0.11,0.19,0.25,0.13
2050,0.23,0.31,0.15,0.26,0.35,0.17
2060,0.29,0.39,0.19,0.34,0.45,0.23
2070,0.35,0.47,0.23,0.42,0.56,0.28
2080,0.41,0.55,0.27,0.52,0.69,0.35
2090,0.47,0.63,0.31,0.61,0.81,0.41
2100,0.53,0.71,0.35,0.75,1,0.5
2110,0.59,0.79,0.39,0.88,1.17,0.59
2120,0.64,0.85,0.43,1,1.33,0.67
